strategy,lingua,perturbation,f1,em,chrf,bleu,SBERT
P2-cot,tl,intensifier,0.417,0.1937,44.4453,26.1505,0.5785
P2-cot,tl,omission,0.3587,0.1573,40.0172,22.1599,0.5499
P2-cot,tl,spelling,0.3867,0.1585,43.4291,24.6597,0.5669
P2-cot,tl,synonym,0.3759,0.1573,40.9158,23.1827,0.5421
P2-cot,tl,word_order,0.4231,0.2196,44.1071,27.8214,0.5832
P2-cot,zh,alteration,0.3955,0.1401,40.3252,23.6213,0.5404
P2-cot,zh,expansion_impact,0.4407,0.181,44.9651,25.6801,0.5962
P2-cot,zh,expansion_noimpact,0.4643,0.1903,45.9944,28.1962,0.6048
P2-cot,zh,intensifier,0.4484,0.1851,45.8343,27.1831,0.6044
P2-cot,zh,omission,0.3838,0.1489,38.1741,22.1553,0.5293
P2-cot,zh,spelling,0.4463,0.1632,45.5672,26.6531,0.5998
P2-cot,zh,synonym,0.459,0.1881,45.6183,26.8031,0.6195
P2-cot,zh,word_order,0.4877,0.2041,49.2773,29.7404,0.6349
P3-concise,es,alteration,0.3799,0.0835,41.4402,21.442,0.5723
P3-concise,es,expansion_impact,0.4129,0.0917,44.1251,23.7479,0.6058
P3-concise,es,expansion_noimpact,0.4415,0.0899,46.1023,25.0372,0.6229
P3-concise,es,intensifier,0.4481,0.0934,45.66,24.6725,0.611
P3-concise,es,omission,0.4292,0.0799,44.1871,23.8553,0.5952
P3-concise,es,spelling,0.4744,0.1123,49.1927,28.1947,0.6337
P3-concise,es,synonym,0.4445,0.1188,46.5534,26.8845,0.6118
P3-concise,es,word_order,0.4871,0.1303,48.9991,27.8678,0.6421
P3-concise,fr,alteration,0.3392,0.0468,37.0998,18.479,0.5349
P3-concise,fr,expansion_impact,0.4202,0.0697,43.6113,22.7538,0.6364
P3-concise,fr,expansion_noimpact,0.4614,0.103,46.767,25.5984,0.6526
P3-concise,fr,intensifier,0.4493,0.0824,46.1827,25.4624,0.6448
P3-concise,fr,omission,0.4278,0.0954,44.3788,23.8797,0.622
P3-concise,fr,spelling,0.4589,0.1143,47.3366,27.2302,0.6524
P3-concise,fr,synonym,0.4475,0.113,45.8047,25.9454,0.6378
P3-concise,fr,word_order,0.4552,0.1193,46.7937,26.6372,0.6416
P3-concise,hi,alteration,0.3952,0.0847,39.7034,20.0013,0.5659
P3-concise,hi,expansion_impact,0.3916,0.1005,39.8259,22.9601,0.567
P3-concise,hi,expansion_noimpact,0.4233,0.1001,41.4613,23.9287,0.5845
P3-concise,hi,intensifier,0.4087,0.1063,41.3582,24.3908,0.589
P3-concise,hi,omission,0.3576,0.0525,36.6563,18.9913,0.5325
P3-concise,hi,spelling,0.4154,0.112,42.0341,24.0108,0.5914
P3-concise,hi,synonym,0.4419,0.116,43.9115,25.8957,0.6022
P3-concise,hi,word_order,0.4138,0.0884,40.0415,22.6015,0.5708
P3-concise,tl,alteration,0.3401,0.0565,36.5507,20.3428,0.4934
P3-concise,tl,expansion_impact,0.3743,0.079,37.785,20.8643,0.5129
P3-concise,tl,expansion_noimpact,0.3842,0.0758,40.0998,22.2117,0.5198
P3-concise,tl,intensifier,0.3835,0.1007,39.7481,22.6145,0.5113
P3-concise,tl,omission,0.3447,0.0996,37.5876,21.838,0.4895
P3-concise,tl,spelling,0.3512,0.0921,38.252,21.9624,0.4979
P3-concise,tl,synonym,0.3595,0.0864,38.0092,22.0835,0.4984
P3-concise,tl,word_order,0.3731,0.1,38.7442,22.9031,0.5076
P3-concise,zh,alteration,0.461,0.089,46.5079,25.8832,0.6207
P3-concise,zh,expansion_impact,0.4622,0.0915,45.708,24.8483,0.6547
P3-concise,zh,expansion_noimpact,0.4831,0.1077,46.8251,27.0253,0.6737
P3-concise,zh,intensifier,0.5011,0.1143,48.575,28.1556,0.6901
P3-concise,zh,omission,0.426,0.0911,43.5662,24.1246,0.6297
P3-concise,zh,spelling,0.474,0.1062,46.5448,26.7274,0.6569
P3-concise,zh,synonym,0.4945,0.1128,47.3867,27.2364,0.6795
P3-concise,zh,word_order,0.5053,0.1508,49.6992,28.7474,0.6819
